model,instrument_type,instrument,quandl_id
EQUITY_TREND_INTC,INTC,STOCK,YAHOO/INTC
EQUITY_TREND_ICE,ICE,STOCK,YAHOO/ICE
EQUITY_TREND_IBM,IBM,STOCK,YAHOO/IBM
EQUITY_TREND_IP,IP,STOCK,YAHOO/IP
EQUITY_TREND_IPG,IPG,STOCK,YAHOO/IPG
EQUITY_TREND_IFF,IFF,STOCK,YAHOO/IFF
EQUITY_TREND_INTU,INTU,STOCK,YAHOO/INTU
EQUITY_TREND_ISRG,ISRG,STOCK,YAHOO/ISRG
EQUITY_TREND_IVZ,IVZ,STOCK,YAHOO/IVZ
EQUITY_TREND_IRM,IRM,STOCK,YAHOO/IRM
EQUITY_TREND_JEC,JEC,STOCK,YAHOO/JEC
EQUITY_TREND_JBHT,JBHT,STOCK,YAHOO/JBHT
EQUITY_TREND_JNJ,JNJ,STOCK,YAHOO/JNJ
EQUITY_TREND_JCI,JCI,STOCK,YAHOO/JCI
EQUITY_TREND_JPM,JPM,STOCK,YAHOO/JPM
EQUITY_TREND_JNPR,JNPR,STOCK,YAHOO/JNPR
EQUITY_TREND_KSU,KSU,STOCK,YAHOO/KSU
EQUITY_TREND_K,K,STOCK,YAHOO/K
EQUITY_TREND_KEY,KEY,STOCK,YAHOO/KEY
EQUITY_TREND_KMB,KMB,STOCK,YAHOO/KMB
EQUITY_TREND_KIM,KIM,STOCK,YAHOO/KIM
EQUITY_TREND_KMI,KMI,STOCK,YAHOO/KMI
EQUITY_TREND_KLAC,KLAC,STOCK,YAHOO/KLAC
EQUITY_TREND_KSS,KSS,STOCK,YAHOO/KSS
EQUITY_TREND_KHC,KHC,STOCK,YAHOO/KHC
EQUITY_TREND_KR,KR,STOCK,YAHOO/KR
EQUITY_TREND_LB,LB,STOCK,YAHOO/LB
EQUITY_TREND_LLL,LLL,STOCK,YAHOO/LLL
EQUITY_TREND_LH,LH,STOCK,YAHOO/LH
EQUITY_TREND_LRCX,LRCX,STOCK,YAHOO/LRCX
EQUITY_TREND_LM,LM,STOCK,YAHOO/LM
EQUITY_TREND_LEG,LEG,STOCK,YAHOO/LEG
EQUITY_TREND_LEN,LEN,STOCK,YAHOO/LEN
EQUITY_TREND_LVLT,LVLT,STOCK,YAHOO/LVLT
EQUITY_TREND_LUK,LUK,STOCK,YAHOO/LUK
EQUITY_TREND_LLY,LLY,STOCK,YAHOO/LLY
EQUITY_TREND_LNC,LNC,STOCK,YAHOO/LNC
EQUITY_TREND_LLTC,LLTC,STOCK,YAHOO/LLTC
EQUITY_TREND_LMT,LMT,STOCK,YAHOO/LMT
EQUITY_TREND_L,L,STOCK,YAHOO/L
EQUITY_TREND_LOW,LOW,STOCK,YAHOO/LOW
EQUITY_TREND_LYB,LYB,STOCK,YAHOO/LYB
EQUITY_TREND_MTB,MTB,STOCK,YAHOO/MTB
EQUITY_TREND_MAC,MAC,STOCK,YAHOO/MAC
EQUITY_TREND_M,M,STOCK,YAHOO/M
EQUITY_TREND_MNK,MNK,STOCK,YAHOO/MNK
EQUITY_TREND_MRO,MRO,STOCK,YAHOO/MRO
EQUITY_TREND_MPC,MPC,STOCK,YAHOO/MPC
EQUITY_TREND_MAR,MAR,STOCK,YAHOO/MAR
EQUITY_TREND_MMC,MMC,STOCK,YAHOO/MMC
EQUITY_TREND_MLM,MLM,STOCK,YAHOO/MLM
EQUITY_TREND_MAS,MAS,STOCK,YAHOO/MAS
EQUITY_TREND_MA,MA,STOCK,YAHOO/MA
EQUITY_TREND_MAT,MAT,STOCK,YAHOO/MAT
EQUITY_TREND_MKC,MKC,STOCK,YAHOO/MKC
EQUITY_TREND_MCD,MCD,STOCK,YAHOO/MCD
EQUITY_TREND_MHFI,MHFI,STOCK,YAHOO/MHFI
EQUITY_TREND_MCK,MCK,STOCK,YAHOO/MCK
EQUITY_TREND_MJN,MJN,STOCK,YAHOO/MJN
EQUITY_TREND_WRK,WRK,STOCK,YAHOO/WRK
EQUITY_TREND_MDT,MDT,STOCK,YAHOO/MDT
EQUITY_TREND_MRK,MRK,STOCK,YAHOO/MRK
EQUITY_TREND_MET,MET,STOCK,YAHOO/MET
EQUITY_TREND_KORS,KORS,STOCK,YAHOO/KORS
EQUITY_TREND_MCHP,MCHP,STOCK,YAHOO/MCHP
EQUITY_TREND_MU,MU,STOCK,YAHOO/MU
EQUITY_TREND_MSFT,MSFT,STOCK,YAHOO/MSFT
EQUITY_TREND_MHK,MHK,STOCK,YAHOO/MHK
EQUITY_TREND_TAP,TAP,STOCK,YAHOO/TAP
EQUITY_TREND_MDLZ,MDLZ,STOCK,YAHOO/MDLZ
EQUITY_TREND_MON,MON,STOCK,YAHOO/MON
EQUITY_TREND_MNST,MNST,STOCK,YAHOO/MNST
EQUITY_TREND_MCO,MCO,STOCK,YAHOO/MCO
EQUITY_TREND_MS,MS,STOCK,YAHOO/MS
EQUITY_TREND_MOS,MOS,STOCK,YAHOO/MOS
EQUITY_TREND_MSI,MSI,STOCK,YAHOO/MSI
EQUITY_TREND_MUR,MUR,STOCK,YAHOO/MUR
EQUITY_TREND_MYL,MYL,STOCK,YAHOO/MYL
EQUITY_TREND_NDAQ,NDAQ,STOCK,YAHOO/NDAQ
EQUITY_TREND_NOV,NOV,STOCK,YAHOO/NOV
EQUITY_TREND_NAVI,NAVI,STOCK,YAHOO/NAVI
EQUITY_TREND_NTAP,NTAP,STOCK,YAHOO/NTAP
EQUITY_TREND_NFLX,NFLX,STOCK,YAHOO/NFLX
EQUITY_TREND_NWL,NWL,STOCK,YAHOO/NWL
EQUITY_TREND_NFX,NFX,STOCK,YAHOO/NFX
EQUITY_TREND_NEM,NEM,STOCK,YAHOO/NEM
EQUITY_TREND_NWSA,NWSA,STOCK,YAHOO/NWSA
EQUITY_TREND_NWS,NWS,STOCK,YAHOO/NWS
EQUITY_TREND_NEE,NEE,STOCK,YAHOO/NEE
EQUITY_TREND_NLSN,NLSN,STOCK,YAHOO/NLSN
EQUITY_TREND_NKE,NKE,STOCK,YAHOO/NKE
EQUITY_TREND_NI,NI,STOCK,YAHOO/NI
EQUITY_TREND_NBL,NBL,STOCK,YAHOO/NBL
EQUITY_TREND_JWN,JWN,STOCK,YAHOO/JWN
EQUITY_TREND_NSC,NSC,STOCK,YAHOO/NSC
EQUITY_TREND_NTRS,NTRS,STOCK,YAHOO/NTRS
EQUITY_TREND_NOC,NOC,STOCK,YAHOO/NOC
EQUITY_TREND_NRG,NRG,STOCK,YAHOO/NRG
